TRACE:Read  4 bytes from 0x80000000, data = 0x413
TRACE:Read  4 bytes from 0x80000004, data = 0x9117
TRACE:Read  4 bytes from 0x80000008, data = 0xffc10113
TRACE:Read  4 bytes from 0x8000000c, data = 0xfc000ef
TRACE:Read  4 bytes from 0x80000108, data = 0xff010113
TRACE:Read  4 bytes from 0x8000010c, data = 0x517
TRACE:Read  4 bytes from 0x80000110, data = 0x1c50513
TRACE:Read  4 bytes from 0x80000114, data = 0x112623
TRACE:Write 4 bytes to   0x80008ffc, data = 0x80000010
TRACE:Read  4 bytes from 0x80000118, data = 0xf11ff0ef
TRACE:Read  4 bytes from 0x80000028, data = 0xfd010113
TRACE:Read  4 bytes from 0x8000002c, data = 0x1712623
TRACE:Write 4 bytes to   0x80008fcc, data = 0x0
TRACE:Read  4 bytes from 0x80000030, data = 0xb97
TRACE:Read  4 bytes from 0x80000034, data = 0x1fcb8b93
TRACE:Read  4 bytes from 0x80000038, data = 0x1312e23
TRACE:Write 4 bytes to   0x80008fdc, data = 0x0
TRACE:Read  4 bytes from 0x8000003c, data = 0x1412c23
TRACE:Write 4 bytes to   0x80008fd8, data = 0x0
TRACE:Read  4 bytes from 0x80000040, data = 0x1512a23
TRACE:Write 4 bytes to   0x80008fd4, data = 0x0
TRACE:Read  4 bytes from 0x80000044, data = 0x1612823
TRACE:Write 4 bytes to   0x80008fd0, data = 0x0
TRACE:Read  4 bytes from 0x80000048, data = 0x1812423
TRACE:Write 4 bytes to   0x80008fc8, data = 0x0
TRACE:Read  4 bytes from 0x8000004c, data = 0x2112623
TRACE:Write 4 bytes to   0x80008fec, data = 0x8000011c
TRACE:Read  4 bytes from 0x80000050, data = 0x2812423
TRACE:Write 4 bytes to   0x80008fe8, data = 0x0
TRACE:Read  4 bytes from 0x80000054, data = 0x2912223
TRACE:Write 4 bytes to   0x80008fe4, data = 0x0
TRACE:Read  4 bytes from 0x80000058, data = 0x3212023
TRACE:Write 4 bytes to   0x80008fe0, data = 0x0
TRACE:Read  4 bytes from 0x8000005c, data = 0xb17
TRACE:Read  4 bytes from 0x80000060, data = 0xd0b0b13
TRACE:Read  4 bytes from 0x80000064, data = 0xb8a93
TRACE:Read  4 bytes from 0x80000068, data = 0xa13
TRACE:Read  4 bytes from 0x8000006c, data = 0x997
TRACE:Read  4 bytes from 0x80000070, data = 0x1e098993
TRACE:Read  4 bytes from 0x80000074, data = 0x4000c13
TRACE:Read  4 bytes from 0x80000078, data = 0xaa903
TRACE:Read  4 bytes from 0x8000022c, data = 0x0
TRACE:Read  4 bytes from 0x8000007c, data = 0xb0493
TRACE:Read  4 bytes from 0x80000080, data = 0xb8413
TRACE:Read  4 bytes from 0x80000084, data = 0x42503
TRACE:Read  4 bytes from 0x8000022c, data = 0x0
TRACE:Read  4 bytes from 0x80000088, data = 0x4a783
TRACE:Read  4 bytes from 0x8000012c, data = 0x0
TRACE:Read  4 bytes from 0x8000008c, data = 0x440413
TRACE:Read  4 bytes from 0x80000090, data = 0xa90533
TRACE:Read  4 bytes from 0x80000094, data = 0x40f50533
TRACE:Read  4 bytes from 0x80000098, data = 0x153513
TRACE:Read  4 bytes from 0x8000009c, data = 0xf75ff0ef
TRACE:Read  4 bytes from 0x80000010, data = 0x50463
TRACE:Read  4 bytes from 0x80000014, data = 0x8067
TRACE:Read  4 bytes from 0x800000a0, data = 0x448493
TRACE:Read  4 bytes from 0x800000a4, data = 0xfe8990e3
TRACE:Read  4 bytes from 0x80000084, data = 0x42503
TRACE:Read  4 bytes from 0x80000230, data = 0x1
TRACE:Read  4 bytes from 0x80000088, data = 0x4a783
TRACE:Read  4 bytes from 0x80000130, data = 0x1
TRACE:Read  4 bytes from 0x8000008c, data = 0x440413
TRACE:Read  4 bytes from 0x80000090, data = 0xa90533
TRACE:Read  4 bytes from 0x80000094, data = 0x40f50533
TRACE:Read  4 bytes from 0x80000098, data = 0x153513
TRACE:Read  4 bytes from 0x8000009c, data = 0xf75ff0ef
TRACE:Read  4 bytes from 0x80000010, data = 0x50463
TRACE:Read  4 bytes from 0x80000014, data = 0x8067
TRACE:Read  4 bytes from 0x800000a0, data = 0x448493
TRACE:Read  4 bytes from 0x800000a4, data = 0xfe8990e3
TRACE:Read  4 bytes from 0x80000084, data = 0x42503
TRACE:Read  4 bytes from 0x80000234, data = 0x2
TRACE:Read  4 bytes from 0x80000088, data = 0x4a783
TRACE:Read  4 bytes from 0x80000134, data = 0x2
TRACE:Read  4 bytes from 0x8000008c, data = 0x440413
TRACE:Read  4 bytes from 0x80000090, data = 0xa90533
TRACE:Read  4 bytes from 0x80000094, data = 0x40f50533
TRACE:Read  4 bytes from 0x80000098, data = 0x153513
TRACE:Read  4 bytes from 0x8000009c, data = 0xf75ff0ef
TRACE:Read  4 bytes from 0x80000010, data = 0x50463
TRACE:Read  4 bytes from 0x80000014, data = 0x8067
TRACE:Read  4 bytes from 0x800000a0, data = 0x448493
TRACE:Read  4 bytes from 0x800000a4, data = 0xfe8990e3
TRACE:Read  4 bytes from 0x80000084, data = 0x42503
TRACE:Read  4 bytes from 0x80000238, data = 0x7fffffff
TRACE:Read  4 bytes from 0x80000088, data = 0x4a783
TRACE:Read  4 bytes from 0x80000138, data = 0x7fffffff
TRACE:Read  4 bytes from 0x8000008c, data = 0x440413
TRACE:Read  4 bytes from 0x80000090, data = 0xa90533
TRACE:Read  4 bytes from 0x80000094, data = 0x40f50533
TRACE:Read  4 bytes from 0x80000098, data = 0x153513
TRACE:Read  4 bytes from 0x8000009c, data = 0xf75ff0ef
TRACE:Read  4 bytes from 0x80000010, data = 0x50463
